"Sample","Observed","Predicted","Residuals","Abs_Residuals","Standardized_Residuals","Original_Response"
"EC_005_all",-0.988433623842521,-0.337653792163882,-0.650779831678639,0.650779831678639,-0.839448791997661,1.03726103752815
"EC_009_all",-0.716351656651338,0.29853385746924,-1.01488551412058,1.01488551412058,-1.3091131245523,2.03424367251895
"EC_013_all",-0.184192796337212,-0.325565165390402,0.14137236905319,0.14137236905319,0.182357932201794,3.98421907245742
"EC_014_all",0.524718602494018,-0.283592446127037,0.808311048621054,0.808311048621054,1.04265021792866,6.58186404569132
"EC_017_all",-0.961205760436101,-0.329394164456412,-0.631811595979689,0.631811595979689,-0.814981434884367,1.13703136514059
"EC_018_all",-0.939657603068263,-0.649512278319597,-0.290145324748666,0.290145324748666,-0.374261970804759,1.2159896986662
"EC_021_all",-1.05051555501012,-0.440803396721527,-0.609712158288592,0.609712158288592,-0.786475102372852,0.809775886785701
"EC_022_all",-0.442185128641517,-0.0413769981385887,-0.400808130502928,0.400808130502928,-0.517007265123222,3.03886470765518
"EC_024_all",-0.82028435479311,-0.248401355323435,-0.571882999469675,0.571882999469675,-0.737678811942468,1.65340588188993
"EC_027_all",1.68093303955717,0.196700513744999,1.48423252581217,1.48423252581217,1.91452952317662,10.8185495121252
"EC_033_all",-1.27150778549433,-0.826581277576707,-0.44492650791762,0.44492650791762,-0.573916094842377,0
"EC_034_all",1.30222580983678,0.888313159269212,0.413912650567571,0.413912650567571,0.533910944374618,9.43086279523448
"EC_035_all",-1.27150778549433,0.252806006439014,-1.52431379193334,1.52431379193334,-1.96623083411055,0
"EC_037_all",-0.983204162547549,-0.387023872337807,-0.596180290209741,0.596180290209741,-0.769020181738692,1.05642321190989
"EC_038_all",-0.359536692830218,-0.318277897948197,-0.0412587948820211,0.0412587948820211,-0.0532202195535998,3.3417111482468
"EC_039_all",-0.920154809328886,-0.417898813887408,-0.502255995441478,0.502255995441478,-0.647866095603175,1.28745326125615
"EC_040_all",1.32178601219958,0.196055128072648,1.12573088412694,1.12573088412694,1.45209391071213,9.5025367186993
"EC_041_all",0.868527496097865,-0.0944130763368687,0.962940572434734,0.962940572434734,1.24210871472587,7.84167372810801
"EC_042_all",-0.687974147860366,-0.557007920251836,-0.13096622760853,0.13096622760853,-0.168934924235268,2.13822661479537
"EC_044_all",-0.64934208553406,-0.0545074917862957,-0.594834593747765,0.594834593747765,-0.767284351563242,2.27978504180478
"EC_051_all",-0.833583594976983,0.00218277764734058,-0.835766372624324,0.835766372624324,-1.07806517310482,1.60467383375468
"EC_056_all",-1.27150778549433,-0.656248962721888,-0.615258822772439,0.615258822772439,-0.793629812113275,0
"EC_063_all",-0.613375613067857,-0.103756617939171,-0.509618995128687,0.509618995128687,-0.657363718135459,2.41157601957833
"EC_064_all",1.15792800585757,0.0578647043160594,1.10006330154151,1.10006330154151,1.41898498485735,8.90211623286678
"EC_065_all",-0.621852741346849,0.0139372645942938,-0.635790005941143,0.635790005941143,-0.82011323410992,2.38051350640999
"EC_066_all",-1.0253326504156,-0.694755989177572,-0.330576661238026,0.330576661238026,-0.426414841749297,0.902052926820941
