"Feature","Full_Model_Permutation","Selected_Model_Permutation","Full_Model_Gini","Permutation_Change","Relative_Change_Percent"
"cube_Effect_Size_Extractable_TN_mg_per_kg",0.00840891299951011,0.0379914058929401,0.898229530799457,0.02958249289343,351.799250332992
"cube_Effect_Size_N_percent_per_mg",0.0064141215429118,0.115564352598634,0.80836860811435,0.109150231055722,1701.71753568255
"cube_Effect_Size_Fe_mg_per_kg",0.0280160897262782,0.197490264669354,3.67085954121848,0.169474174943076,604.917305016032
"cube_Effect_Size_ATP_picomoles_per_g",0.0213131760879292,0.333679375504247,2.79306597731612,0.312366199416317,1465.60136381187
"cube_Effect_Size_C_percent_per_mg",0.0134485108917224,0.176142929803624,1.96268762547359,0.162694418911901,1209.75787001102
"cube_Median_Temperature_degC",0.00400219458588025,0.0679026189530396,0.518560019136162,0.0639004243671593,1596.63462123007
