"fold","r2_full","r2_selected","rmse_full","rmse_selected"
1,0.418692349334206,0.541498371001662,372.110898645156,329.16120401366
2,0.0643958412967744,0.339822578014246,345.167171890984,274.698387905352
3,0.577673825139833,0.674588944788229,318.963224833045,302.365682597805
4,0.688462303232508,0.650634710438598,347.287716068934,342.641991733177
5,0.87213245806205,0.648439856550819,151.979776457415,197.196195311433
