"cube_Effect_Size_SpC_microsiemens_per_cm","cube_Effect_Size_Fe_mg_per_kg","cube_Effect_Size_C_percent_per_mg","cube_Percent_Med_Sand","cube_Percent_Fine_Sand","cube_Median_SpC_microsiemens_per_cm","cube_Median_ATP_picomoles_per_g","cube_Median_X01395_C_percent_per_mg","cube_Median_X01397_N_percent_per_mg"
1.05256988078161,2.05948578273265,0.118304605931308,-0.149494877314135,1.9083560967973,-0.0924006900206172,1.19652921593781,1.88554532313099,0.375885794896775
1.01389828448818,1.94387783478674,0.240151813672416,-0.141019168765993,1.96519330424514,0.0293095335241593,1.433317915027,2.04029924680539,0.396406118504205
0.947578628060125,1.92233009370282,0.127590819888416,-0.301867614041443,1.7409117012331,-0.0688239412684924,1.23733294299912,1.83920148623763,0.374980751261689
0.756245664310473,1.94493873664098,0.161509049378283,-0.182396116006453,1.70873409543831,-0.0748669132150954,1.27153333342837,2.24745680986602,0.326049812213665
1.02476718162225,1.88767244195224,0.156192303790792,-0.241861002082092,1.9514260439922,-0.120343478260252,1.36991364851032,1.9344045426704,0.309774067474801
1.03780141851103,1.8504041210927,0.185727508763881,-0.100007252833106,1.96317440890821,-0.210942407211797,1.22565006200432,1.98181643973206,0.456997112692899
0.791846229260971,1.87202402535681,0.0706859675853359,-0.253569892465014,1.68386215825727,-0.0157493519150706,1.21306808509147,1.91899887596721,0.325743542605392
0.950094060138493,1.86802360785902,-0.00120746993720114,-0.270444758570305,1.96360344239259,-0.14118794087642,1.09167201771739,2.04097330384184,0.454842329819815
0.841614438482315,1.90064062348705,0.0955542153218149,-0.203827523492735,1.89443050319976,-0.0722212134541033,1.15072594918531,2.0590895186547,0.4471929272649
0.798831625797746,2.01236867340275,0.161575774385461,-0.17381886540481,1.73898600230226,-0.129186879684041,1.20254460061366,2.14320278735379,0.223008293922622
0.651180134186706,2.03225534531802,0.121915290772632,-0.150443699719814,1.51092855426785,0.0187666095818281,1.16425488864853,2.00875710112096,0.439039190339885
0.806967109501529,2.00649623786749,0.159179455660824,-0.236433925041348,1.84143804397421,-0.0628545579516361,1.11592062404055,2.0157907741711,0.463586488941555
0.823623478646042,1.7972969557168,0.124595755199902,-0.212281282785493,1.54702890876925,-0.132993436001804,1.14995757595918,1.91912550445695,0.168609748654165
0.958515897035102,1.94986025848044,0.189170572622572,-0.278487973071085,1.73534372268759,-0.0943894729450014,1.25249468087598,2.08501334149642,0.414673574205915
0.837445720794422,1.95952031539433,0.0761720414747508,-0.192340924745643,1.97672171755647,-0.0522390235354433,1.10276886361332,1.9911151634129,0.393791537368632
0.907329540133363,1.65440431380567,0.0800372423415689,-0.209182875059026,1.62677628135631,-0.146273752414858,1.34708106154845,1.90474760425972,0.277516880739848
0.715374760707851,2.26213526248837,0.0458435657228455,-0.211516137070132,1.84875543743698,-0.055939017618621,1.06823509126642,1.92202326939679,0.274657216127962
0.932462850408595,2.16485347640947,0.258708681784312,-0.105442744409398,1.72927343328725,-0.0849952563600275,1.2278214022281,2.11135272883833,0.191771329631033
0.949919513859014,2.0722050106381,0.214476709429241,-0.204914055611272,1.86356752363712,-0.210438977682531,1.20080992022493,2.15127929252651,0.390952869476227
0.967862672745982,1.62742219288074,0.143934602885698,-0.205488719681751,1.8956867209167,-0.0918711937607744,1.4298470748018,1.83365633903193,0.310980871149775
0.915465219773817,2.04207322592901,0.0506586880730421,-0.242678453101032,1.66040706505185,-0.110524824885759,1.31829411794177,2.14631782657278,0.365331798019148
0.96747136910519,2.021871155872,0.15338747629454,-0.232689190832351,1.86334105026381,-0.0915534386011681,1.34338416849559,1.77758867520029,0.455336489336016
0.97847586302293,1.761802053173,0.211708817235114,-0.259577726030362,1.90397011614573,-0.135243876381453,1.21393263478745,1.92205427984522,0.46156741059689
0.971300822176793,1.97227390032604,0.247693407971997,-0.219076155604364,1.82792321489097,0.00177063530435974,1.23041927157608,2.20850025946325,0.523855317704974
0.728103910571871,2.01050904222324,0.269149489195937,-0.132856377466753,1.8746040027263,-0.0956061222995517,1.17003329893682,1.96829728540594,0.463487546611673
0.761187960738917,2.01010771099299,-0.0102615377702847,-0.194027386866973,2.14148392252209,-0.155327299322782,1.16164177767636,1.98648850564008,0.408329055575328
0.946715652866231,1.98659668209767,0.170281401077246,-0.304203335623104,2.118831652931,-0.146987936938756,1.1071863712791,2.15350744758346,0.384282507297735
0.861109791972822,1.96095364557794,0.0277301069900256,-0.264872964525708,1.76285943153164,-0.0740425833395727,1.36833675672548,1.8984840308831,0.241761153779782
1.00524771992871,2.01014541184057,0.219015473516524,-0.139375567293574,1.89297759455319,-0.220817969190488,1.15511917696531,2.2482668517266,0.434543239092266
1.03191047562679,2.07296788307258,0.0595353888941123,-0.214862511274219,1.81521180914608,-0.141916817099358,1.04795238632991,2.07138816826726,0.327911922118438
0.799692167566197,2.03681507525269,0.0914240672410538,-0.168117351942731,1.98485165386381,-0.0598956134299639,1.02254113206261,1.86325014585812,0.358511458650572
1.08613990139085,2.05074971170819,-0.10993119281702,-0.190265882460473,1.89107163561477,-0.100193769208488,1.14085767837747,2.28085739406261,0.410601143291067
0.79106312836224,2.08288967397505,0.292139564094065,-0.137993117658303,1.68693639567881,-0.0350757102382842,1.22153371251806,2.10912550114546,0.325203566102486
0.796846342709463,1.91294084925475,0.131581432125022,-0.244333540024541,1.74100908064544,-0.0618890255753257,1.2358759682755,2.00545520504589,0.351551132538927
0.914973760069457,1.92223339442464,0.207924529747395,-0.261819531944629,1.83349074689234,-0.0929763567921919,1.20886608408549,2.06999002966929,0.303716519066521
0.840494946114508,1.9640148937094,-0.00327774175186711,-0.213438367293826,1.75750370091878,-0.19276458604763,1.15205113073369,2.05109750929764,0.271122785939329
0.718589639906861,2.11887049630608,0.126568294070554,-0.142921954493313,1.85435845748808,-0.0328503555148268,1.25921273935558,1.93569984566909,0.436390107291192
0.885235635546852,1.86848856617209,0.303031165303525,-0.134058047186918,2.07673391720129,-3.01957162702209e-05,1.0695682889183,2.2137226410772,0.489362589269505
1.06402671072896,1.90876049488896,-0.0026341707463057,-0.238427421179628,1.90200760990596,-0.00310657908853663,0.928100383619658,2.25617548217157,0.298357126069595
0.866203636618035,1.86707135849648,0.00806672246520552,-0.16442013581637,1.70522405749397,-0.0844501094007102,1.37687789164258,2.09513546202001,0.48470146580233
0.939783588503547,2.03904411233286,0.256987521274669,-0.183991319992374,1.90765938236905,-0.0741991234204283,1.22259442136167,2.09735704472889,0.319303228959369
0.946168382948872,2.12678730381808,0.185654635468259,-0.207079466854944,2.02365655421694,-0.0195374107567476,1.0946202631761,2.00671602870502,0.272411993281495
0.995139390649594,2.1538246974462,0.177988465001466,-0.212381063886693,1.85905817647969,0.0261359370724575,1.17555734874441,1.88906508253294,0.498066399386718
0.954390299608453,1.78312583662726,0.234887488589709,-0.311613661348775,2.03824514441511,-0.16961966171172,1.26576015865429,2.12290054960389,0.247240714539601
0.989065340064939,2.09365693989286,0.1068283937899,-0.0838578426749581,2.13562421005627,0.00137832938532301,1.38779351626552,2.25612785948271,0.601453793180028
