"Feature","Full_Model_Permutation","Selected_Model_Permutation","Full_Model_Impurity","Permutation_Change"
"cube_Effect_Size_Extractable_TN_mg_per_kg",-0.00651553056527271,0.0231668352552427,0.411688823791926,0.0296823658205154
"cube_Effect_Size_N_percent_per_mg",-0.0325030966281202,-0.0720398097303974,0.875365602201744,-0.0395367131022772
"cube_Effect_Size_Fe_mg_per_kg",0.072478947267734,0.219714627535867,0.875231001170881,0.147235680268133
"cube_Effect_Size_ATP_picomoles_per_g",0.0339297630712872,0.317113029758352,1.001645230259,0.283183266687065
"cube_Effect_Size_C_percent_per_mg",-0.0288398690335657,0.0467114025342274,0.761702415708106,0.0755512715677931
"cube_Median_Temperature_degC",-0.00237978859080326,-0.00672603302678971,0.632174682115969,-0.00434624443598646
