"","cube_Effect_Size_SpC_microsiemens_per_cm","cube_Effect_Size_pH","cube_Effect_Size_Temperature_degC","cube_Effect_Size_Fe_mg_per_kg","cube_Effect_Size_ATP_picomoles_per_g","cube_Effect_Size_Extractable_NPOC_mg_per_kg","cube_Effect_Size_Extractable_TN_mg_per_kg","cube_Effect_Size_C_percent_per_mg","cube_Effect_Size_N_percent_per_mg","cube_Percent_Tot_Sand","cube_Percent_Coarse_Sand","cube_Percent_Med_Sand","cube_Percent_Fine_Sand","cube_Percent_Clay","cube_Mean_Specific_Surface_Area_m2_per_g","cube_Median_SpC_microsiemens_per_cm","cube_Median_pH","cube_Median_Temperature_degC","cube_Median_ATP_picomoles_per_g","cube_Median_Fe_mg_per_kg","cube_Median_X01395_C_percent_per_mg","cube_Median_X01397_N_percent_per_mg","cube_Median_Extractable_NPOC_mg_per_kg","cube_Median_Extractable_TN_mg_per_kg","cube_median_Dry_Initial_Gravimetric","cube_median_Dry_Final_Gravimetric"
"cube_Effect_Size_SpC_microsiemens_per_cm",1,0.0449447241634243,-0.153368401127013,0.00243803751688965,0.156394910473779,0.111811147400603,0.371340502075359,-0.0765605505792057,0.223785115324656,-0.119824909440839,-0.0474694311217482,0.0532783272457385,0.0388791498771279,0.170947551648371,0.0392406300485401,-0.402836775609337,0.0472494699908756,-0.0983705008424919,-0.0034503507637476,0.224403815689984,-0.067560068304727,0.171423048911754,0.294803437256374,-0.163935575637824,0.303040102522412,0.291180243170711
"cube_Effect_Size_pH",0.0449447241634243,1,-0.225263166163749,0.02084107491363,-0.0858293516088737,0.117219428232536,-0.081817011821184,-0.15940374250677,-0.0816700611477265,0.0652938701313482,0.0431921673837409,0.0397109412278004,-0.0426970778858694,-0.0915059886517923,0.0902878030666754,-0.233635778833805,-0.161621762253735,0.0266766029374905,0.0255197389264583,0.00497926605864623,-0.186536295578178,0.0912552455829882,-0.141310619340401,-0.0449942132574529,-0.00910901204554371,0.00181840167583736
"cube_Effect_Size_Temperature_degC",-0.153368401127013,-0.225263166163749,1,0.0770252616527689,0.0309505500481015,0.074923037602596,-0.00576612522128314,0.210090498690358,0.231457133417196,0.0164930840421073,-0.134242912557214,-0.0768345241170839,0.172334954070474,-0.0847419288703052,-0.232787592226657,0.00469246836011438,-0.118230270994717,-0.104674841182912,0.108064147745436,0.0629820518177238,-0.0884186088729706,-0.135036076311588,-0.26648605208022,-0.241090165243625,-0.114992774222843,-0.144304519424374
"cube_Effect_Size_Fe_mg_per_kg",0.00243803751688965,0.02084107491363,0.0770252616527689,1,-0.237750644253531,0.29027075227571,0.271634728357963,-0.141167632312148,-0.19989548601482,-0.522784546223229,-0.55696036446501,-0.0170861130731434,0.553382661331393,0.380552741589286,0.480716957423429,0.0827421853080538,-0.235026307890536,-0.0765202674246755,0.49788504104077,0.592025978617882,0.431272404451378,0.293898770418364,0.0869405362367487,0.0347070198461257,0.210929288240885,0.094863793806303
"cube_Effect_Size_ATP_picomoles_per_g",0.156394910473779,-0.0858293516088737,0.0309505500481015,-0.237750644253531,1,-0.246108779035557,0.0838410832192796,0.0855486885638326,-0.0552413258165349,0.198176797231289,0.275705452548792,0.0872944806467926,-0.297435419633193,-0.171766054391145,-0.166287857809313,-0.0765275142794245,0.212585055658873,-0.261883606164239,-0.42193164532214,-0.233443413633849,-0.325563647366298,-0.204456064188857,-0.104634652618328,-0.0433144240799895,-0.0985155306548739,-0.0851436256744795
"cube_Effect_Size_Extractable_NPOC_mg_per_kg",0.111811147400603,0.117219428232536,0.074923037602596,0.29027075227571,-0.246108779035557,1,0.0326390070045949,-0.0693474923392915,0.0244904189422718,-0.236689746879225,0.0404375986590305,-0.240104074374191,0.000701632110834224,0.150847571575927,0.181655998121631,-0.0468677115684369,-0.209935894194559,-0.0795367936957661,0.316699091496176,0.160681242903153,0.188980891403875,0.184820928140921,0.0521019299022608,-0.041881832195204,0.0860127279924815,0.0148302901667142
"cube_Effect_Size_Extractable_TN_mg_per_kg",0.371340502075359,-0.081817011821184,-0.00576612522128314,0.271634728357963,0.0838410832192796,0.0326390070045949,1,0.231883711081225,0.237394116228412,-0.559048941128679,-0.449528082037996,-0.0216038735722468,0.238877492230433,0.475571682916734,0.501593475382976,-0.138053992534492,-0.120199496169136,-0.31069455176773,-0.0320166668453986,0.498582971923266,0.291771496311961,0.309411496875997,0.41237904773673,0.064415445738563,0.447737675846621,0.390023118635592
"cube_Effect_Size_C_percent_per_mg",-0.0765605505792057,-0.15940374250677,0.210090498690358,-0.141167632312148,0.0855486885638326,-0.0693474923392915,0.231883711081225,1,0.220285912947976,-0.290473276142126,0.139890566731054,-0.401836542021118,-0.239339512226822,0.198502821367446,-0.081698773642365,0.149237216460934,0.197987879768469,0.0308725105300532,-0.261114879224462,0.139218431540049,-0.222962324850372,0.0321805830224832,-0.0688686329829944,0.083976956852414,-0.110459713326174,-0.113138926228748
"cube_Effect_Size_N_percent_per_mg",0.223785115324656,-0.0816700611477265,0.231457133417196,-0.19989548601482,-0.0552413258165349,0.0244904189422718,0.237394116228412,0.220285912947976,1,0.0967870118176012,-0.0258752381428315,-0.0462026057862365,0.0256587471212839,-0.0141859360852513,-0.167267019196517,-0.018376474127713,0.0969729311381545,-0.232208270414958,-0.134954619325495,0.164435235996468,-0.152585793128704,-0.0917271857329896,0.134570714649488,-0.0251673571659893,0.0761074185837484,0.129028129648988
"cube_Percent_Tot_Sand",-0.119824909440839,0.0652938701313482,0.0164930840421073,-0.522784546223229,0.198176797231289,-0.236689746879225,-0.559048941128679,-0.290473276142126,0.0967870118176012,1,0.533998664685203,0.27552927114556,-0.293070932729849,-0.788432342481377,-0.737839956098041,-0.288237626576585,-0.0296992493322095,-0.0597177139155915,-0.161547246598481,-0.554974783273788,-0.474690654750284,-0.368916666862767,-0.298500310833315,-0.304221855365371,-0.434759563918168,-0.309983327140887
