"feature","cluster","individual_cor","selected","rank_in_cluster"
"Effect_Size_SpC_microsiemens_per_cm",1,0.390624933321631,FALSE,1
"Median_SpC_microsiemens_per_cm",1,0.258141145363667,FALSE,2
"Median_Extractable_TN_mg_per_kg",1,0.219378303205748,FALSE,3
"Effect_Size_Extractable_TN_mg_per_kg",1,0.147520780097485,FALSE,4
"median_Dry_Initial_Gravimetric",1,0.0608413129402367,FALSE,5
"median_Dry_Final_Gravimetric",1,0.0130442497026433,FALSE,6
"Median_Extractable_NPOC_mg_per_kg",1,0.0119364917833635,FALSE,7
"Effect_Size_N_percent_per_mg",2,0.10690254387347,FALSE,1
"Effect_Size_Temperature_degC",2,0.0900263582443289,FALSE,2
"Effect_Size_pH",2,0.00154775228576915,FALSE,3
"Percent_Fine_Sand",3,0.571262757647739,FALSE,1
"Percent_Coarse_Sand",3,0.504717824302126,FALSE,2
"Effect_Size_Fe_mg_per_kg",3,0.416665539620857,FALSE,3
"Percent_Tot_Sand",3,0.368252549020367,FALSE,4
"Median_Fe_mg_per_kg",3,0.159134361979476,FALSE,5
"Mean_Specific_Surface_Area_m2_per_g",3,0.134027051961995,FALSE,6
"Percent_Clay",3,0.0201504338557003,FALSE,7
"Median_ATP_picomoles_per_g",4,0.535874563858294,FALSE,1
"Effect_Size_ATP_picomoles_per_g",4,0.399543603416212,FALSE,2
"Median_X01397_N_percent_per_mg",4,0.325970209150607,FALSE,3
"Median_X01395_C_percent_per_mg",4,0.296377615830791,FALSE,4
"Effect_Size_Extractable_NPOC_mg_per_kg",4,0.0856898900175138,FALSE,5
"Effect_Size_C_percent_per_mg",5,0.203595945445439,FALSE,1
"Percent_Med_Sand",5,0.0268173077912578,FALSE,2
"Median_Temperature_degC",6,0.0515411941249564,TRUE,1
"Median_pH",6,0.0399450894700312,FALSE,2
