"Feature_Rank","Selected_Feature","Individual_Correlation","Permutation_Importance","Gini_Importance"
1,"cube_Percent_Fine_Sand",0.603401132933396,0.373660819503903,168.606416671642
2,"cube_Median_ATP_picomoles_per_g",0.578559675803021,0.300653542349271,145.231382709012
3,"cube_Median_SpC_microsiemens_per_cm",0.252468102658819,0.132363046149638,85.9727856995009
6,"cube_Percent_Med_Sand",0.0149288741733975,0.106551933635926,66.0589343576623
5,"cube_Median_pH",0.0180361910282365,0.0735381991802768,63.4821238313005
4,"cube_Effect_Size_pH",0.114151463015856,0.05922617077741,53.214508474037
