"Feature","Individual_Correlation","Bootstrap_Stability","Mean_Abs_SHAP","Mean_SHAP"
"cube_Percent_Fine_Sand",0.603401132933396,0.53,0.98840383943955,0.0408278762830233
"cube_Median_ATP_picomoles_per_g",0.578559675803021,0.52,0.756272078176036,0.00747149879375256
"cube_Median_SpC_microsiemens_per_cm",0.252468102658819,0.48,0.429033172905684,0.00826906203656001
"cube_Median_pH",0.0180361910282365,0.16,0.255287625378997,-0.0029960172974983
"cube_Percent_Med_Sand",0.0149288741733975,0.26,0.21646602332559,0.00811079339980376
"cube_Effect_Size_pH",0.114151463015856,0.28,0.205838617947004,0.00755810267965587
