"feature","mean_abs","mean","median","sd"
"cube_Percent_Fine_Sand",0.98840383943955,0.0408278762830233,-0.227838959680075,1.14930626387566
"cube_Median_ATP_picomoles_per_g",0.756272078176036,0.00747149879375256,-0.0519228556392123,0.9707812239743
"cube_Median_SpC_microsiemens_per_cm",0.429033172905684,0.00826906203656001,-0.0747146081154192,0.524655486192685
"cube_Median_pH",0.255287625378997,-0.0029960172974983,0.0377378944544862,0.30900796683009
"cube_Percent_Med_Sand",0.21646602332559,0.00811079339980376,-0.0216141209787854,0.291609388859105
"cube_Effect_Size_pH",0.205838617947004,0.00755810267965587,0.00518056972083249,0.244601216472386
