"feature","mean_abs_shap","mean_shap","median_shap","sd_shap"
"Percent_Fine_Sand",95.3387130352381,5.46038506183674,-40.1481652466666,111.440809627887
"Effect_Size_SpC_microsiemens_per_cm",73.7903249020748,-0.778623969625849,-38.3691718216667,109.030712460757
"Median_ATP_picomoles_per_g",72.401912514898,-0.0971841760544225,-38.3635584683333,91.7172367307366
"Effect_Size_N_percent_per_mg",35.1590052347279,0.350992745,-17.216707115,45.8568428336526
"Median_Temperature_degC",25.525308642415,1.3893456579932,-10.7105689783333,38.8316329255372
"Effect_Size_C_percent_per_mg",24.4146810733673,0.924764441802719,-1.29646678833327,30.4364616378425
