"variable","mean_imp","sd_imp","median_imp","min_imp","max_imp","cv_imp","stability"
"cube_Median_X01395_C_percent_per_mg",2.02623714934024,0.14201490391028,2.02096844212109,1.64251804686781,2.41849538129433,0.0700879973287041,"Stable"
"cube_Effect_Size_Fe_mg_per_kg",1.94822443785599,0.132260488957261,1.94440828571386,1.62742219288074,2.26213526248837,0.0678877065636304,"Stable"
"cube_Percent_Fine_Sand",1.86491274701136,0.14011015441373,1.87954517823287,1.43289660621037,2.15215449070555,0.0751296030542259,"Stable"
"cube_Median_ATP_picomoles_per_g",1.18113359919433,0.12323138444409,1.17381059427242,0.895840480794263,1.433317915027,0.104333146164116,"Stable"
"cube_Effect_Size_SpC_microsiemens_per_cm",0.890031933071598,0.109157410888569,0.90036114228481,0.651180134186706,1.08618218236113,0.12264437581678,"Stable"
"cube_Median_X01397_N_percent_per_mg",0.3869459417549,0.0853169553438456,0.39237220342243,0.168609748654165,0.647584337045243,0.220488047908995,"Stable"
"cube_Effect_Size_C_percent_per_mg",0.134391615618047,0.0894139951282863,0.131310916905964,-0.10993119281702,0.361220469037113,0.665324207295855,"Moderate"
"cube_Median_SpC_microsiemens_per_cm",-0.0748447790975786,0.0664011729312435,-0.0734038919210678,-0.220817969190488,0.0701938633686362,0.887185101377254,"Moderate"
"cube_Percent_Med_Sand",-0.204280945341113,0.056504687200495,-0.205201387646511,-0.349107095926331,-0.0838578426749581,0.276602828061825,"Stable"
