"Model","R_squared","RMSE","Num_Features","Variance_Explained_Percent"
"Full Feature Set",0.933107815920046,0.336539156375662,26,93.3107815920046
"Selected Features",0.886371318378627,0.397758505038259,6,88.6371318378627
