"Feature","Individual_Correlation","Permutation_Importance","Permutation_SD","Bootstrap_Stability","SHAP_Mean_Abs","SHAP_Mean","SHAP_Direction"
"Percent_Fine_Sand",0.571262757647739,0.288099355567081,0.0534199109807703,0.52,95.3387130352381,5.46038506183674,"Positive"
"Effect_Size_SpC_microsiemens_per_cm",0.390624933321631,0.191631563491747,0.0376579969641205,0.73,72.401912514898,-0.0971841760544225,"Negative"
