"Feature","Individual_Correlation","Permutation_Importance","Permutation_SD","Bootstrap_Stability","SHAP_Mean_Abs","SHAP_Mean","SHAP_Direction"
"Percent_Fine_Sand",0.571262757647739,0.288099355567081,0.0534199109807703,0.52,95.3387130352381,5.46038506183674,"Positive"
"Median_ATP_picomoles_per_g",0.535874563858294,0.274769792826549,0.0483487039942996,0.45,73.7903249020748,-0.778623969625849,"Negative"
"Effect_Size_SpC_microsiemens_per_cm",0.390624933321631,0.191631563491747,0.0376579969641205,0.73,72.401912514898,-0.0971841760544225,"Negative"
"Effect_Size_C_percent_per_mg",0.203595945445439,0.100851700354173,0.015141195631524,0.38,35.1590052347279,0.350992745,"Positive"
"Effect_Size_N_percent_per_mg",0.10690254387347,0.0503939029333261,0.00836202183549616,0.31,25.525308642415,1.3893456579932,"Positive"
"Median_Temperature_degC",0.0515411941249564,0.0406222400292706,0.0183206669460376,0.07,24.4146810733673,0.924764441802719,"Positive"
