"Feature","Individual_Correlation","Permutation_Importance","Permutation_SD","Bootstrap_Stability","SHAP_Mean_Abs","SHAP_Mean","SHAP_Direction"
"cube_Percent_Fine_Sand",0.603401132933396,0.38199215334095,0.0870102412616077,0.53,0.98840383943955,0.0408278762830233,"Positive"
"cube_Median_ATP_picomoles_per_g",0.578559675803021,0.305293140213011,0.0695296514830699,0.52,0.756272078176036,0.00747149879375256,"Positive"
"cube_Median_SpC_microsiemens_per_cm",0.252468102658819,0.124334303596041,0.0482892523412337,0.48,0.429033172905684,0.00826906203656001,"Positive"
"cube_Effect_Size_pH",0.114151463015856,0.103501150847566,0.0158499699664893,0.28,0.255287625378997,-0.0029960172974983,"Negative"
"cube_Median_pH",0.0180361910282365,0.0766429517837356,0.0159023314524719,0.16,0.21646602332559,0.00811079339980376,"Positive"
"cube_Percent_Med_Sand",0.0149288741733975,0.0561836594598161,0.00828103326421101,0.26,0.205838617947004,0.00755810267965587,"Positive"
