"feature","mean_importance","sd_importance","cv_importance"
"cube_Percent_Fine_Sand",0.38199215334095,0.0870102412616077,0.227780179515746
"cube_Median_ATP_picomoles_per_g",0.305293140213011,0.0695296514830699,0.227747179103197
"cube_Median_SpC_microsiemens_per_cm",0.124334303596041,0.0482892523412337,0.388382376742336
"cube_Percent_Med_Sand",0.103501150847566,0.0158499699664893,0.153138103650971
"cube_Median_pH",0.0766429517837356,0.0159023314524719,0.207485895080655
"cube_Effect_Size_pH",0.0561836594598161,0.00828103326421101,0.147392201644213
