"feature","mean_importance","sd_importance","cv_importance"
"Effect_Size_SpC_microsiemens_per_cm",0.288099355567081,0.0534199109807703,0.185421834337745
"Percent_Fine_Sand",0.274769792826549,0.0483487039942996,0.175960768820102
"Median_ATP_picomoles_per_g",0.191631563491747,0.0376579969641205,0.196512496573887
"Effect_Size_N_percent_per_mg",0.100851700354173,0.015141195631524,0.150133270716813
"Effect_Size_C_percent_per_mg",0.0503939029333261,0.00836202183549616,0.165933205184753
"Median_Temperature_degC",0.0406222400292706,0.0183206669460376,0.451000903269651
