Sample_Name,cube_Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H,cube_Effect_Size_SpC_microsiemens_per_cm,cube_Effect_Size_pH,cube_Effect_Size_Temperature_degC,cube_Effect_Size_Fe_mg_per_kg,cube_Effect_Size_ATP_picomoles_per_g,cube_Effect_Size_Extractable_NPOC_mg_per_kg,cube_Effect_Size_Extractable_TN_mg_per_kg,cube_Effect_Size_C_percent_per_mg,cube_Effect_Size_N_percent_per_mg,cube_Percent_Tot_Sand,cube_Percent_Coarse_Sand,cube_Percent_Med_Sand,cube_Percent_Fine_Sand,cube_Percent_Clay,cube_Mean_Specific_Surface_Area_m2_per_g,cube_Median_SpC_microsiemens_per_cm,cube_Median_pH,cube_Median_Temperature_degC,cube_Median_ATP_picomoles_per_g,cube_Median_Fe_mg_per_kg,cube_Median_X01395_C_percent_per_mg,cube_Median_X01397_N_percent_per_mg,cube_Median_Extractable_NPOC_mg_per_kg,cube_Median_Extractable_TN_mg_per_kg,cube_median_Dry_Initial_Gravimetric,cube_median_Dry_Final_Gravimetric
EC_005_all,1.037261038,0,0.506579702,-0.464158883,0.464158883,-1.335136449,-0.788373516,-0.448140475,0.271441762,-0.41212853,4.572488593,3.220442052,3.830411552,1.817120593,0.7368063,2.015463466,4.868575803,1.90147623,2.752339607,2.473860987,0.876121012,0.646330407,0.574889708,2.071574646,1.378585683,0.646330407,0.506579702
EC_009_all,2.034243673,-1.205071132,-0.215443469,0.464158883,0.228942849,-3.181073171,1.085767047,-1.041580437,-0.464158883,0.36840315,4.328528534,2.369284502,3.314111593,3.154834267,1.118688942,2.624376269,4.002914543,1.792043067,2.712153714,4.578141412,0.831069411,0.90450417,0.589636854,2.333412696,1.253589681,0.711378661,0.612692568
EC_013_all,3.984219072,1.806968869,-0.584803548,-0.66943295,-0.125992105,-0.879365934,-0.989898299,-1.467446784,0.654213262,0.215443469,4.507805384,4.344481486,1.600520664,1.765174168,1.062658569,1.772949427,7.587131964,1.93499329,2.780648883,2.709432033,1.082078758,1.18166575,0.6082202,3.493047423,3.366246176,1.00662271,0.958283971
EC_014_all,6.581864046,-2.912274569,0.553965826,-0.464158883,-0.6854124,-3.540748243,-1.819137376,-1.14725242,0.553965826,0.36840315,4.514357435,3.516924828,3.470500361,1.885203631,1.39247665,1.737019604,4.865761596,1.892211887,2.761112063,3.19435855,0.905521611,0.760590492,0.708069875,2.768525066,1.636155978,0.848092609,0.798956974
EC_017_all,1.137031365,0.965489385,0.742895884,-0.464158883,0.5857766,1.622342797,-0.341995189,-1.652185656,-0.271441762,0,4.561301055,4.125206601,2.65900579,1.806968869,1.560490751,2.460113684,6.54252201,1.857602028,2.74793233,2.914042083,0.658084437,0.589636854,0.271441762,1.800822669,1.423580201,0.629960525,0.493242415
EC_018_all,1.215989699,-2.210418899,-0.621446501,0.271441762,0.506579702,-0.947268237,0.629960525,-1.840048833,-0.271441762,0,4.622947714,4.507805384,1.650963624,1.39247665,1.062658569,1.299605403,8.117535551,1.871028631,2.759362031,1.373303693,0.510446872,0.646330407,0.215443469,2.179632966,1.941647377,0.793700526,0.748887239
EC_021_all,0.809775887,-3.036588972,0.493242415,-0.464158883,-0.32396118,0.691042323,-0.965489385,-2.066123108,-0.271441762,0.215443469,4.580446299,3.684031499,3.335221153,2.080083823,1.574060917,1.812870713,10.54628097,1.955256473,2.750137734,2.059071439,0.497991946,0.553965826,0.215443469,2.791598969,2.574805968,0.63825043,0.51924941
EC_022_all,3.038864708,-2.462919397,0.63825043,-0.793700526,0.71530901,-0.612692568,1.129243235,-2.12013883,-0.448140475,-0.310723251,4.501234229,2.904392867,3.77976315,2.333106554,1.39247665,3.160650937,4.250726519,1.877197424,2.767655007,3.502447268,0.776117016,0.708069875,0.584803548,1.768377758,1.032280115,0.654213262,0.542883523
EC_024_all,1.653405882,-3.137999185,0.574889708,-0.464158883,0.382586237,-1.986576777,-0.271441762,-1.82815804,-0.271441762,-0.564621617,4.586792613,4.372556459,2.056710116,1.613428646,1.503694596,1.686513827,6.150366823,1.852759456,2.782802756,3.691384874,0.48417083,0.721124785,0.531329285,1.888947839,1.710545749,0.553965826,0.430886938
EC_027_all,10.81854951,-3.60882608,-0.542883523,-0.66943295,0.454683594,-0.920516408,-1.162250881,-0.998330548,-0.683990379,-0.629960525,4.171691715,1.032280115,2.924017738,3.595983174,2.503993617,3.241706666,10.28355058,1.917928176,2.7849533,2.530558288,0.765172473,1.129243235,0.612692568,3.023518843,1.659480168,1,0.89211214
EC_033_all,0,-3.301927249,0.36840315,-0.464158883,-0.459470089,-1.34809975,-1.247193704,-1.696185218,0,0.215443469,4.627622083,4.51599248,1.83709055,0.928317767,0.965489385,1.748870019,10.49508462,1.968248592,2.750137734,1.548767664,0.421716333,0.506579702,0.271441762,2.639294654,2.581575866,0.63825043,0.51924941
EC_034_all,9.430862795,-4.188859364,-0.36840315,0.928317767,0.948381362,-3.524454588,-1.513944048,-1.714523776,0.430886938,-0.310723251,4.401996339,0.843432665,1.587401052,4.321400438,1.503694596,2.455589073,7.669616592,1.863859869,2.789244452,6.17843706,0.931209741,1.058212247,0.6082202,2.383450964,1.68627941,0.704729873,0.594392195
EC_035_all,0,2.048799615,0.271441762,0.464158883,0.778599283,2.57279322,-1.113336282,-1.107931651,-0.594392195,0.310723251,4.550058366,1.518294486,3.964265037,3.050980604,1.357208808,2.577618538,6.521428294,1.921997343,2.712153714,4.008523491,1.335977392,1.075779136,0.6082202,3.221405968,1.988264608,1.176871922,1.085767047
EC_037_all,1.056423212,-2.210418899,0.391486764,-0.7368063,0.393649718,-1.532618865,0.98648483,-1.902858118,0.310723251,0.464158883,4.605726957,4.469756037,1.675068684,1.546680374,1.320006122,1.789027905,7.12168205,1.877670269,2.756732814,2.633539837,0.551784835,0.708069875,0.612692568,2.290382016,1.803901005,0.542883523,0.391486764
EC_038_all,3.341711148,-2.5198421,0.603681074,0,-0.25198421,2.036818056,-1.655840946,-1.292660814,0.310723251,-0.215443469,4.607297805,4.317827554,2.295770425,1.732478211,1.300591447,1.820546469,5.325074022,1.885203631,2.754537962,3.127981155,0.790512939,0.676789945,0.642315829,2.531858945,1.413642144,0.612692568,0.493242415
EC_039_all,1.287453261,-2.686997382,-0.621446501,0,-0.1,1.599218368,-0.848092609,-1.426043147,0.654213262,-0.448140475,4.593121414,4.079653309,2.935667334,1.546680374,1.458099736,1.747452074,8.031645489,1.954384175,2.732394416,2.4841666,0.481310079,1.130548719,0.594392195,2.328504754,1.377708161,0.66943295,0.553965826
EC_040_all,9.502536719,-3.405642304,-0.584803548,0.464158883,1.905891225,-1.172038718,1.253589681,0.683990379,0.843432665,0.621446501,3.456607096,1.560490751,1.216440399,3.292729632,2.606100075,4.098968608,8.011182279,1.944296285,2.712153714,2.366609357,2.209292649,1.131851196,0.589636854,2.361838556,1.533328082,0.771944263,0.564621617
EC_041_all,7.841673728,2.827284288,-0.542883523,-0.584803548,0.32396118,4.152062651,-0.654213262,-0.950968541,-0.215443469,-0.471769398,4.548447726,3.802952461,3.171491568,1.930978769,1.600520664,2.238043572,6.15432969,1.945618037,2.734624943,3.823925681,0.75507667,1.16716532,0.683990379,2.1953068,1.496287114,0.771944263,0.629960525
EC_042_all,2.138226615,-1.503694596,-0.542883523,0.464158883,-0.564621617,0.553965826,-0.341995189,-1.74788861,0,0.310723251,4.558094515,4.254320865,2.244017027,1.856635533,1.091392883,1.928920441,4.852349448,1.948256166,2.727922404,1.279562025,0.518010147,0.646330407,0.553965826,1.880502356,1.416970331,0.717905435,0.629960525
EC_044_all,2.279785042,-1.44224957,0.814325285,0,0.425432087,2.095379106,1.481248034,-1.610863572,-0.553965826,-0.391486764,4.562902635,3.908331957,2.856178246,2.289428485,1.375068867,2.129515197,4.971167389,1.795668598,2.74572338,3.602801318,0.563048847,0.701357908,0.634132571,2.282411525,1.495542321,0.603681074,0.41212853
EC_051_all,1.604673834,1.383827504,0.711378661,-0.66943295,0.522932153,-2.339823202,0.793700526,-1.253589681,-0.594392195,-0.36840315,4.389921837,4.160167646,1.875777455,1.817120593,1.626133332,4.002997753,3.497004239,1.953947733,2.763296488,5.076943208,0.832033529,0.791045989,0.559344471,1.752784682,1.16716532,0.711378661,0.612692568
EC_056_all,0,-1.45495727,-0.829134434,0.7368063,0.262074139,0.742895884,-1.080082298,-0.271441762,-0.271441762,0,4.618263873,4.125206601,2.935667334,1.44224957,1.144714243,1.297232773,2.53860092,1.759808864,2.750137734,1.413642144,0.389299642,0.531329285,0.215443469,1.953947733,0.928317767,0.553965826,0.310723251
EC_063_all,2.41157602,-2.080083823,-0.697953205,0,0.723679722,-3.202991993,1.722424919,-1.157294527,-0.215443469,-0.341995189,4.599432822,3.60882608,3.538353688,1.817120593,1.23856233,1.295646184,4.862239254,1.875303655,2.74572338,4.24129707,0.935228575,0.67313155,0.512992784,3.0077577,1.382956624,0.584803548,0.36840315
EC_064_all,8.902116233,2.530297996,-0.430886938,0,0.370842977,0.7368063,1.404407876,-1.387300109,0.448140475,0.464158883,4.483063912,4.075643819,2.477124659,1.930978769,1.320006122,1.262854033,6.67979358,1.938104217,2.754537962,5.157644098,0.551236886,0.866239105,0.683990379,2.653809639,1.826660776,1.06852973,0.983047572
EC_065_all,2.380513506,0.969052108,-0.448140475,0,0.473262349,-2.409568284,-0.479141986,0.36840315,0.271441762,0.215443469,4.533900352,2.996291714,3.73490226,2.42156491,1.698499252,2.261684076,3.178600706,1.789964732,2.691606306,3.950002671,0.86289452,0.654213262,0.559344471,1.801336456,0.894201404,0.704729873,0.612692568
EC_066_all,0.902052927,-1.207362147,-0.310723251,-0.464158883,-0.215443469,0.448140475,1.753327004,-0.676789945,0.271441762,0,4.582034526,4.554883458,0.793700526,1.062658569,1.280579165,2.156443622,3.340158239,1.83263518,2.725680889,2.11157628,0.559344471,0.594392195,0.271441762,4.267631482,1.327614394,0.646330407,0.479141986
