Sample_Name,cube_Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H,cube_Effect_Size_SpC_microsiemens_per_cm,cube_Effect_Size_pH,cube_Effect_Size_Temperature_degC,cube_Effect_Size_Fe_mg_per_kg,cube_Effect_Size_ATP_picomoles_per_g,cube_Effect_Size_Extractable_NPOC_mg_per_kg,cube_Effect_Size_Extractable_TN_mg_per_kg,cube_Effect_Size_C_percent_per_mg,cube_Effect_Size_N_percent_per_mg,cube_Percent_Tot_Sand,cube_Percent_Coarse_Sand,cube_Percent_Med_Sand,cube_Percent_Fine_Sand,cube_Percent_Clay,cube_Mean_Specific_Surface_Area_m2_per_g,cube_Median_SpC_microsiemens_per_cm,cube_Median_pH,cube_Median_Temperature_degC,cube_Median_ATP_picomoles_per_g,cube_Median_Fe_mg_per_kg,cube_Median_X01395_C_percent_per_mg,cube_Median_X01397_N_percent_per_mg,cube_Median_Extractable_NPOC_mg_per_kg,cube_Median_Extractable_TN_mg_per_kg,cube_median_Dry_Initial_Gravimetric,cube_median_Dry_Final_Gravimetric
EC_068_all,4.017093516,3.242784783,0.41212853,0,1.202771372,-2.510885864,1.612147129,0.928317767,0.950968541,-0.215443469,2.806278428,1.903778262,0.965489385,2.427236043,2.996291714,3.860571385,6.6156805,1.892677262,2.793522441,2.978738562,1.893002888,1.366197208,0.739863622,3.600231467,2.049990085,1.186420996,0.983047572
EC_069_all,8.763853972,-7.166095742,-0.646330407,0.66943295,0.884934401,-5.5821284,1,-2.191843072,0.271441762,0.391486764,4.558094515,4.367319859,1.765174168,1.806968869,1.488805553,1.870266579,11.30287864,1.877197424,2.767655007,6.782386655,0.797911218,1.380337382,0.559344471,2.322649569,1.891280451,0.63825043,0.51924941
EC_070_all,1.940408742,2.709886026,-0.66943295,0.584803548,-0.327106631,-3.082874698,1.085767047,-0.717905435,0.391486764,0.479141986,4.436134937,1.587401052,3.585642403,3.338215069,1.503694596,1.511321738,5.372840308,1.90607474,2.761112063,3.791856986,1.004810159,0.71465695,0.553965826,2.084312429,1.270334093,0.711378661,0.603681074
EC_071_all,11.17480519,-4.605726957,-0.430886938,-0.66943295,1.062658569,2.974600375,-0.965489385,1.735803513,0.742895884,-0.271441762,3.715686989,1.357208808,2.7849533,3.007389192,1.193483192,3.603289175,7.782967436,1.878615247,2.707614536,3.968714272,1.024876051,1.339795023,0.711378661,3.085502896,3.309248619,0.965489385,0.829134434
EC_072_all,4.099286015,3.045599674,-0.512992784,-0.464158883,0.814576542,-3.064173041,0.603681074,1.266189417,0.63825043,0,2.596247051,1.062658569,1.675068684,2.263702392,3.543670531,4.627014949,9.813025855,1.905615887,2.754537962,3.98452353,0.869116997,1.408620282,0.701357908,3.46523404,2.193576303,1,0.833955092
EC_073_all,2.16522455,1.930978769,0.584803548,0,0.629119455,0.838720653,0.661910595,-1.509568463,-0.310723251,-0.391486764,4.569297742,4.432744691,1.375068867,1.786315988,0.7368063,1.640997806,4.749676802,1.966095145,2.771999842,2.346804167,1.011044242,0.617100579,0.574889708,2.286563115,1.57540512,0.943538796,0.861773876
EC_074_all,0.597209262,-2.498665955,0.542883523,-0.584803548,-0.31748021,-1.772631238,0.603681074,-1.796701779,0.271441762,0.170997595,4.615136026,4.233964951,2.723435682,1.300591447,1.193483192,1.817927843,4.82171871,1.900092332,2.754537962,2.457963812,0.434448149,0.574889708,0.612692568,1.798764584,1.746796862,0.584803548,0.430886938
EC_075_all,8.778779794,2.072351098,-0.717905435,-0.464158883,0.881086811,-3.644810289,-2.284968134,-0.954640271,-0.730614357,0.310723251,4.422542711,1.118688942,2.966289281,3.892996416,1.560490751,2.217694764,5.92926189,1.924250566,2.793522441,4.429094384,1.020253685,0.976100008,0.553965826,3.871877471,1.630533405,0.711378661,0.493242415
EC_076_all,7.57521938,-1.939877415,-0.479141986,0.66943295,0.596273196,2.175062754,1.088587233,-1.700806999,0.531329285,-0.391486764,4.119321848,2.386966384,3.050980604,3.032969673,1.675068684,2.344441366,8.931371008,1.954384175,2.763296488,5.637576797,0.733413673,0.977846165,0.537168535,2.800127545,2.102566778,0.661910595,0.36840315
EC_078_all,10.15879184,-5.987473868,-0.574889708,-0.464158883,0.993963636,-4.545545695,1.080082298,-1.696185218,-1.382084646,-0.430886938,4.279949922,1.732478211,3.242784783,3.394107441,1.091392883,2.87606136,8.204122456,1.885672471,2.765477465,5.803693644,0.977497433,2.091576232,0.751847298,2.459893357,2.217220231,0.870658769,0.760590492
EC_080_all,2.56232658,2.668401649,0.542883523,-0.66943295,0.7,-3.669236032,1.380337382,1.255707236,-1.18166575,0.292401774,4.289029181,1.25992105,3.20753433,3.5276718,2.381101578,4.318399613,6.246237736,1.871504599,2.750137734,4.913443577,1.454011878,2.213144449,0.852701898,5.135179056,2.451879718,1.541086544,1.448631289
EC_081_all,8.572124454,1.921094573,0.493242415,0.464158883,0.691739642,3.391501265,-0.848092609,0.594392195,-0.584803548,0.448140475,4.486378563,1.193483192,3.940794673,3.014742251,1.032280115,1.737461397,4.315591496,1.866733983,2.700777097,4.54061989,0.813318701,0.763460672,0.569801922,2.6812139,1.30452075,0.697953205,0.584803548
EC_082_all,9.128078151,2.223980091,-0.271441762,-0.464158883,0.339121144,-3.25604398,-1.508104283,-0.493242415,-0.341995189,0.215443469,4.540377361,1.912931183,3.267948037,3.725319403,1.25992105,1.913295481,4.961707485,1.883325937,2.700777097,4.434016641,0.724633187,1.088587233,0.548480655,2.858015805,1.313276185,0.866239105,0.798956974
EC_084_all,8.226761663,2.970072818,0.51924941,0.464158883,-0.158740105,-2.41985838,1.803901005,0.215443469,0.41212853,0.542883523,4.589959195,4.540377361,1.062658569,1.23856233,1.118688942,1.625755073,5.68618796,1.893607324,2.769829128,2.715322121,0.741685954,0.774731089,0.63825043,2.607816713,1.536158413,0.742895884,0.621446501
EC_085_all,8.384125347,1.84691475,0.63825043,-0.584803548,1.335697196,-3.98032,0.900411335,-1.320006122,-0.215443469,0.215443469,4.254320865,1.503694596,3.391211443,3.25855733,1.458099736,1.818230377,5.276435074,1.898243992,2.765477465,4.415031237,1.254755221,0.67313155,0.559344471,2.7704807,1.423580201,0.697953205,0.506579702
EC_088_all,9.450516475,2.703060088,0.63825043,-0.464158883,1.082647824,-5.124221575,1.859532005,-1.288658743,-1.03849882,-0.41212853,4.081655102,2.644786236,2.780648883,3.036588972,1.488805553,3.025049518,4.590750159,1.797733773,2.741294786,6.459311911,1.142036986,1.117355581,0.625732475,2.759580907,2.104450125,0.766309432,0.584803548
EC_089_all,1.701498103,2.468402317,0.215443469,-0.464158883,0.536010841,3.002220578,1.49030788,0.493242415,0,0.41212853,4.496293244,3.593403558,2.754537962,2.868384284,1.600520664,2.074831844,4.516074201,1.803388678,2.6961995,4.175518957,0.818326948,0.603681074,0.589636854,2.639533894,1.123990865,0.661910595,0.574889708
EC_090_all,7.475767716,-1.938991221,0.748887239,0,1.178314168,-3.329517857,-1.169607095,-1.16716532,0.310723251,-0.36840315,4.246941282,3.164849681,2.880487315,2.758924176,1.698499252,1.943855301,3.186499109,1.758731869,2.736851837,3.65481943,0.939590889,0.739863622,0.603681074,1.888480624,1.210782455,0.564621617,0.41212853
EC_091_all,7.312607226,-1.930978769,0.82425706,0.464158883,0.643122759,-2.597235721,0.464158883,-0.464158883,0.430886938,0.391486764,4.458046293,1.062658569,2.466212074,4.167857437,1.546680374,1.759162825,5.428835233,1.870552421,2.716677749,3.782560903,0.936940407,0.694514956,0.599072641,2.286563115,1.410298212,0.691042323,0.564621617
EC_092_all,1.787464341,2.958693117,-0.920516408,0,0.551784835,3.267635883,0.782973528,-1.448631289,-0.448140475,0,4.473090433,3.834949959,2.673074866,2.410142264,1.44224957,1.418462927,5.38091111,1.860495494,2.714417617,3.710851997,0.634132571,0.852701898,0.603681074,2.403813382,1.468220346,0.584803548,0.430886938
EC_093_all,1.173976776,2.396290566,-0.430886938,-0.66943295,0.158740105,1.047689553,-1.378585683,-0.932169752,0,0,4.605726957,4.349773186,2.237377884,1.613428646,1.216440399,1.592806246,3.976002147,1.871980325,2.732394416,2.092718546,0.586261917,0.629960525,0.621446501,3.470361978,1.365303684,0.612692568,0.493242415
EC_094_all,7.402184648,1.796701779,-0.531329285,-0.584803548,0.564621617,-4.007070827,1.234201159,-1.134447194,0.310723251,0,4.49958844,3.649321197,2.663712005,2.868384284,1.600520664,1.717353963,6.215328012,1.866255578,2.730160241,4.960014416,1.115081536,0.89835089,0.629960525,3.248164644,1.510299489,0.661910595,0.553965826
EC_095_all,10.45952369,-2.992574227,0.782973528,0,1.156298147,-5.65321299,2.437377815,-1.811043221,-0.493242415,-0.464158883,4.031008989,1.613428646,2.525080872,3.562154989,1.216440399,2.341161914,7.090326043,1.763568003,2.691606306,6.763093014,0.424509237,1.513944048,0.727478635,2.76917725,2.012834133,0.848092609,0.63825043
